state;action_reward;n_state 
16988&0|13263&1|11711&0|19243&1|12729&1|7833&1|10349&0|14842&1|6653&0|10800&1;5433&1|16672&1|17046&1;16988&0|13263&1|11711&0|19243&1|12729&1|7833&1|10349&0|14842&1|6653&0|10800&1|5433&1|16672&1|17046&1
14163&1|11347&0|20153&0|4499&0|16763&1|15433&0|3031&1|7655&1|4884&0|4007&0;12779&0|4246&0|1948&0;14163&1|11347&0|20153&0|4499&0|16763&1|15433&0|3031&1|7655&1|4884&0|4007&0|12779&0|4246&0|1948&0
8079&1|4314&0|9422&0|2655&0|13211&1|17022&1|19739&1|10720&0|2655&1|5766&0;8705&1|18450&1|20173&1;8079&1|4314&0|9422&0|2655&0|13211&1|17022&1|19739&1|10720&0|2655&1|5766&0|8705&1|18450&1|20173&1
16040&1|2814&0|19692&1|8592&0|9023&1|354&1|17198&1|1822&1|2628&1|13979&1;13596&1|17222&1|16091&1;16040&1|2814&0|19692&1|8592&0|9023&1|354&1|17198&1|1822&1|2628&1|13979&1|13596&1|17222&1|16091&1
20757&0|19848&0|18979&0|8828&0|3094&0|19336&0|6580&0|4314&0|16564&0|1326&0;16723&0|19765&0|15100&0;20757&0|19848&0|18979&0|8828&0|3094&0|19336&0|6580&0|4314&0|16564&0|1326&0|16723&0|19765&0|15100&0
15505&0|13965&1|11813&0|19607&1|20202&0|6498&0|13792&0|13448&0|6790&0|15404&0;12729&0|15424&0|16313&0;15505&0|13965&1|11813&0|19607&1|20202&0|6498&0|13792&0|13448&0|6790&0|15404&0|12729&0|15424&0|16313&0
4606&1|2613&0|12185&1|4689&1|8919&0|13703&0|7649&0|8990&0|13110&0|6555&0;9371&1|8234&1|16552&1;4606&1|2613&0|12185&1|4689&1|8919&0|13703&0|7649&0|8990&0|13110&0|6555&0|9371&1|8234&1|16552&1
1537&1|18793&1|2178&0|17451&1|6040&1|7116&1|8672&1|15904&0|19075&1|2852&1;17569&1|1537&0|10681&0;1537&1|18793&1|2178&0|17451&1|6040&1|7116&1|8672&1|15904&0|19075&1|2852&1|17569&1|1537&0|10681&0
194&0|17962&0|16114&0|14482&1|19240&0|14482&0|334&0|17852&1|6487&0|3050&0;3333&1|6386&1|99&0;194&0|17962&0|16114&0|14482&1|19240&0|14482&0|334&0|17852&1|6487&0|3050&0|3333&1|6386&1|99&0
3394&1|1491&0|11161&1|7686&0|4266&0|6394&1|16919&0|9887&1|5368&1|12560&1;896&0|357&0|8943&1;3394&1|1491&0|11161&1|7686&0|4266&0|6394&1|16919&0|9887&1|5368&1|12560&1|896&0|357&0|8943&1
1591&1|13363&1|2328&0|12434&1|13531&0|2340&1|7340&0|2328&0|9699&1|13363&0;17694&0|4450&0|6853&0;1591&1|13363&1|2328&0|12434&1|13531&0|2340&1|7340&0|2328&0|9699&1|13363&0|17694&0|4450&0|6853&0
4661&0|15590&0|10115&1|15277&1|1072&0|14700&0|20618&1|13983&0|18701&1|8718&1;3859&0|3859&0|3265&1;4661&0|15590&0|10115&1|15277&1|1072&0|14700&0|20618&1|13983&0|18701&1|8718&1|3859&0|3859&0|3265&1
2720&0|8934&0|15216&1|7162&0|4312&0|18886&0|11762&0|5564&0|18984&0|12604&1;17997&0|18123&1|10517&1;2720&0|8934&0|15216&1|7162&0|4312&0|18886&0|11762&0|5564&0|18984&0|12604&1|17997&0|18123&1|10517&1
7267&1|13215&1|4792&1|4503&1|13215&1|8077&1|10656&0|2939&1|3447&1|19686&1;8077&0|14688&1|7267&0;7267&1|13215&1|4792&1|4503&1|13215&1|8077&1|10656&0|2939&1|3447&1|19686&1|8077&0|14688&1|7267&0
13265&1|4857&1|19671&1|3019&0|16858&1|4857&1|4857&1|10270&1|7575&0|2447&0;10270&0|6999&1|19958&1;13265&1|4857&1|19671&1|3019&0|16858&1|4857&1|4857&1|10270&1|7575&0|2447&0|10270&0|6999&1|19958&1
11484&0|9493&0|6684&0|12904&0|6684&1|6684&1|9493&0|6684&0|13373&0|2297&0;6684&1|1124&0|18529&0;11484&0|9493&0|6684&0|12904&0|6684&1|6684&1|9493&0|6684&0|13373&0|2297&0|6684&1|1124&0|18529&0
18816&1|13429&0|10167&1|20408&1|18222&0|14040&1|10416&1|14091&1|1484&0|10227&1;8391&1|1734&1|18606&0;18816&1|13429&0|10167&1|20408&1|18222&0|14040&1|10416&1|14091&1|1484&0|10227&1|8391&1|1734&1|18606&0
10234&0|2879&1|20683&1|1578&1|13691&1|7358&0|4452&1|4192&1|15216&0|7291&1;4192&0|19752&1|11749&0;10234&0|2879&1|20683&1|1578&1|13691&1|7358&0|4452&1|4192&1|15216&0|7291&1|4192&0|19752&1|11749&0
37&0|1665&0|12602&0|20761&0|15089&0|8305&0|14523&0|7181&0|18740&0|9711&0;3182&0|15609&0|11555&0;37&0|1665&0|12602&0|20761&0|15089&0|8305&0|14523&0|7181&0|18740&0|9711&0|3182&0|15609&0|11555&0
14008&1|15141&1|20055&1|14665&1|13157&1|12761&1|5390&1|19154&1|19312&1|13761&1;19299&1|4510&1|2176&0;14008&1|15141&1|20055&1|14665&1|13157&1|12761&1|5390&1|19154&1|19312&1|13761&1|19299&1|4510&1|2176&0
1468&1|14551&0|14839&0|2531&0|10354&0|16044&0|6142&0|17104&0|8710&0|6302&1;6155&0|15875&0|6674&0;1468&1|14551&0|14839&0|2531&0|10354&0|16044&0|6142&0|17104&0|8710&0|6302&1|6155&0|15875&0|6674&0
7651&1|15165&0|17189&0|10517&1|14259&0|15216&1|5462&0|3668&0|11831&0|782&1;13709&1|18698&0|892&0;7651&1|15165&0|17189&0|10517&1|14259&0|15216&1|5462&0|3668&0|11831&0|782&1|13709&1|18698&0|892&0
15064&0|10571&0|11461&0|9843&0|6382&0|20398&0|8524&0|4403&1|17119&0|17019&0;4878&0|9185&0|13364&0;15064&0|10571&0|11461&0|9843&0|6382&0|20398&0|8524&0|4403&1|17119&0|17019&0|4878&0|9185&0|13364&0
15732&1|10715&0|14724&0|15505&0|15424&1|17261&0|4935&0|20068&0|10364&1|13965&1;13792&0|16602&0|7977&0;15732&1|10715&0|14724&0|15505&0|15424&1|17261&0|4935&0|20068&0|10364&1|13965&1|13792&0|16602&0|7977&0
3554&1|8995&1|9699&1|12604&1|6383&1|752&1|20481&1|14140&1|16211&1|9860&1;8776&0|13598&0|20047&0;3554&1|8995&1|9699&1|12604&1|6383&1|752&1|20481&1|14140&1|16211&1|9860&1|8776&0|13598&0|20047&0
3741&1|10473&1|5184&1|11251&0|20614&1|16119&0|17851&1|4896&1|6527&1|17611&1;9926&0|3272&0|4445&0;3741&1|10473&1|5184&1|11251&0|20614&1|16119&0|17851&1|4896&1|6527&1|17611&1|9926&0|3272&0|4445&0
15267&0|9636&1|8452&1|8828&1|17401&1|17746&0|3178&0|16898&0|12285&1|3554&1;17694&0|15708&0|6513&0;15267&0|9636&1|8452&1|8828&1|17401&1|17746&0|3178&0|16898&0|12285&1|3554&1|17694&0|15708&0|6513&0
1414&0|14209&1|14842&1|17067&1|9267&0|18671&1|10642&0|7742&1|19190&0|11341&1;4637&0|10697&0|880&0;1414&0|14209&1|14842&1|17067&1|9267&0|18671&1|10642&0|7742&1|19190&0|11341&1|4637&0|10697&0|880&0
17113&0|12604&1|14047&1|15216&1|9853&0|7162&1|3500&1|13163&1|13598&1|4017&1;1284&1|1224&1|10364&1;17113&0|12604&1|14047&1|15216&1|9853&0|7162&1|3500&1|13163&1|13598&1|4017&1|1284&1|1224&1|10364&1
19045&1|17275&1|7890&1|7890&1|1076&1|1082&0|6124&1|14211&1|1082&1|15549&1;7056&0|12516&0|11800&1;19045&1|17275&1|7890&1|7890&1|1076&1|1082&0|6124&1|14211&1|1082&1|15549&1|7056&0|12516&0|11800&1
12650&0|16780&1|18058&1|3951&1|3768&0|8551&1|15770&1|20601&1|20247&1|3154&1;12565&1|5692&1|3768&1;12650&0|16780&1|18058&1|3951&1|3768&0|8551&1|15770&1|20601&1|20247&1|3154&1|12565&1|5692&1|3768&1
15661&0|14842&1|11726&0|4675&0|8632&1|11072&1|522&0|4720&1|109&1|12636&1;9606&1|9550&0|10454&0;15661&0|14842&1|11726&0|4675&0|8632&1|11072&1|522&0|4720&1|109&1|12636&1|9606&1|9550&0|10454&0
18066&1|4873&0|13568&1|8379&1|19481&1|476&0|18066&0|9695&1|19004&1|19004&0;4873&1|18943&0|17246&1;18066&1|4873&0|13568&1|8379&1|19481&1|476&0|18066&0|9695&1|19004&1|19004&0|4873&1|18943&0|17246&1
17900&0|1528&0|4665&0|2625&1|14835&0|1957&1|18090&0|6292&0|7611&0|20559&0;14445&0|15746&0|5760&0;17900&0|1528&0|4665&0|2625&1|14835&0|1957&1|18090&0|6292&0|7611&0|20559&0|14445&0|15746&0|5760&0
2526&0|5423&0|4296&0|20279&1|16990&1|13965&0|9654&0|19896&1|6801&0|20061&0;16564&1|10337&1|3554&1;2526&0|5423&0|4296&0|20279&1|16990&1|13965&0|9654&0|19896&1|6801&0|20061&0|16564&1|10337&1|3554&1
3846&0|6217&0|6172&1|8599&1|9149&1|15089&1|42&1|1960&1|13876&1|13876&0;13890&0|18740&0|7114&0;3846&0|6217&0|6172&1|8599&1|9149&1|15089&1|42&1|1960&1|13876&1|13876&0|13890&0|18740&0|7114&0
13474&1|15264&1|9877&1|18996&0|752&0|3025&0|11841&0|440&1|15800&1|14806&1;11961&0|6392&1|10245&1;13474&1|15264&1|9877&1|18996&0|752&0|3025&0|11841&0|440&1|15800&1|14806&1|11961&0|6392&1|10245&1
2422&0|12243&0|8697&0|1396&1|10823&1|5213&0|12243&0|441&1|19354&0|2581&1;8367&0|9781&0|5574&0;2422&0|12243&0|8697&0|1396&1|10823&1|5213&0|12243&0|441&1|19354&0|2581&1|8367&0|9781&0|5574&0
17197&0|20758&0|19385&0|6410&1|15295&1|6410&0|11280&1|4206&0|14698&0|2472&0;4206&1|13541&0|12389&1;17197&0|20758&0|19385&0|6410&1|15295&1|6410&0|11280&1|4206&0|14698&0|2472&0|4206&1|13541&0|12389&1
3872&0|2259&0|3002&0|9206&1|12309&0|17561&1|10143&1|4067&1|17956&1|3477&1;4935&1|15706&1|12143&1;3872&0|2259&0|3002&0|9206&1|12309&0|17561&1|10143&1|4067&1|17956&1|3477&1|4935&1|15706&1|12143&1
19794&1|11484&1|18740&0|7148&0|12085&1|9422&0|10234&0|18347&1|1224&1|11072&1;19817&0|1475&0|16730&1;19794&1|11484&1|18740&0|7148&0|12085&1|9422&0|10234&0|18347&1|1224&1|11072&1|19817&0|1475&0|16730&1
7254&1|3701&0|15572&0|12333&0|13431&0|10719&1|12019&0|7507&0|16143&0|20476&0;9642&0|7350&0|3876&0;7254&1|3701&0|15572&0|12333&0|13431&0|10719&1|12019&0|7507&0|16143&0|20476&0|9642&0|7350&0|3876&0
2065&0|20370&1|13479&1|2650&1|16939&1|8164&0|13019&1|18934&1|12995&0|13019&0;14476&0|11488&0|4379&1;2065&0|20370&1|13479&1|2650&1|16939&1|8164&0|13019&1|18934&1|12995&0|13019&0|14476&0|11488&0|4379&1
4192&0|14079&1|7745&0|8391&0|16666&1|7937&1|8391&0|8422&1|10365&0|18181&1;12085&1|37&1|9325&1;4192&0|14079&1|7745&0|8391&0|16666&1|7937&1|8391&0|8422&1|10365&0|18181&1|12085&1|37&1|9325&1
11716&1|704&1|9249&1|6405&0|18052&0|19377&0|15137&0|12445&0|984&0|11907&0;18588&0|6405&0|14730&0;11716&1|704&1|9249&1|6405&0|18052&0|19377&0|15137&0|12445&0|984&0|11907&0|18588&0|6405&0|14730&0
7411&1|16791&1|13858&1|20237&0|20172&0|2440&1|18947&0|6542&1|9306&1|15065&0;7411&1|14480&1|6542&1;7411&1|16791&1|13858&1|20237&0|20172&0|2440&1|18947&0|6542&1|9306&1|15065&0|7411&1|14480&1|6542&1
4505&1|10342&0|11849&0|17113&0|5191&0|19825&0|5368&1|14440&0|19825&0|20181&0;13328&0|6528&0|803&0;4505&1|10342&0|11849&0|17113&0|5191&0|19825&0|5368&1|14440&0|19825&0|20181&0|13328&0|6528&0|803&0
19783&0|9853&1|14523&1|4168&0|10364&1|1408&0|13163&1|4118&1|5795&0|15732&1;7416&1|13135&0|12963&1;19783&0|9853&1|14523&1|4168&0|10364&1|1408&0|13163&1|4118&1|5795&0|15732&1|7416&1|13135&0|12963&1
14102&0|15099&0|12730&0|9761&1|20613&0|10909&0|15704&0|7068&0|2778&0|3452&0;19513&0|229&0|4468&0;14102&0|15099&0|12730&0|9761&1|20613&0|10909&0|15704&0|7068&0|2778&0|3452&0|19513&0|229&0|4468&0
10234&0|1665&0|2184&0|20735&0|9853&1|7617&0|5920&0|12586&0|7041&0|13598&1;15216&0|11749&0|14436&0;10234&0|1665&0|2184&0|20735&0|9853&1|7617&0|5920&0|12586&0|7041&0|13598&1|15216&0|11749&0|14436&0
4026&0|5900&0|8069&1|19948&1|7742&1|5900&0|1399&1|8363&1|3478&0|8482&1;13876&1|6105&1|6283&1;4026&0|5900&0|8069&1|19948&1|7742&1|5900&0|1399&1|8363&1|3478&0|8482&1|13876&1|6105&1|6283&1
14273&0|5230&0|16225&0|15890&0|930&1|16941&1|16198&0|15787&1|7786&1|4116&0;19065&1|10622&1|7321&0;14273&0|5230&0|16225&0|15890&0|930&1|16941&1|16198&0|15787&1|7786&1|4116&0|19065&1|10622&1|7321&0
14193&1|18885&1|344&1|5622&1|12938&1|15098&0|8284&1|928&1|7101&1|13589&1;8672&1|15224&1|4092&1;14193&1|18885&1|344&1|5622&1|12938&1|15098&0|8284&1|928&1|7101&1|13589&1|8672&1|15224&1|4092&1
19959&0|9356&0|4866&0|6174&1|15503&1|3675&1|15708&0|16465&0|8277&0|13791&0;5592&0|12604&1|3500&0;19959&0|9356&0|4866&0|6174&1|15503&1|3675&1|15708&0|16465&0|8277&0|13791&0|5592&0|12604&1|3500&0
5368&0|9498&1|250&0|12621&0|11203&0|11945&1|18947&0|9306&0|16796&0|12289&1;16791&0|3905&0|20392&0;5368&0|9498&1|250&0|12621&0|11203&0|11945&1|18947&0|9306&0|16796&0|12289&1|16791&0|3905&0|20392&0
10002&1|11879&0|15591&0|17063&0|18996&1|17424&0|13242&0|11175&1|17720&0|5241&0;18664&1|650&0|12781&0;10002&1|11879&0|15591&0|17063&0|18996&1|17424&0|13242&0|11175&1|17720&0|5241&0|18664&1|650&0|12781&0
8561&0|3066&0|13413&0|17194&0|10702&0|1751&0|5072&1|3809&0|17308&0|11120&0;6847&0|1167&1|11412&0;8561&0|3066&0|13413&0|17194&0|10702&0|1751&0|5072&1|3809&0|17308&0|11120&0|6847&0|1167&1|11412&0
13598&1|3500&0|11945&1|20481&1|4017&0|7162&1|20481&0|12604&0|14047&1|8566&0;15659&1|1224&1|10364&1;13598&1|3500&0|11945&1|20481&1|4017&0|7162&1|20481&0|12604&0|14047&1|8566&0|15659&1|1224&1|10364&1
8916&0|5716&0|19748&1|4118&1|12957&0|13163&1|8967&0|13163&0|19432&1|8916&0;14626&0|6781&0|1133&0;8916&0|5716&0|19748&1|4118&1|12957&0|13163&1|8967&0|13163&0|19432&1|8916&0|14626&0|6781&0|1133&0
1491&0|16266&0|14567&0|13656&0|112&0|7045&0|16111&0|1491&0|16111&0|140&0;18710&0|8897&0|18710&0;1491&0|16266&0|14567&0|13656&0|112&0|7045&0|16111&0|1491&0|16111&0|140&0|18710&0|8897&0|18710&0
13689&0|16666&0|2500&0|393&0|12902&0|13689&0|2500&1|2307&0|3178&0|9870&0;7466&1|2640&1|9870&1;13689&0|16666&0|2500&0|393&0|12902&0|13689&0|2500&1|2307&0|3178&0|9870&0|7466&1|2640&1|9870&1
18450&1|14047&1|15659&0|11882&0|20285&1|15216&1|20181&1|15992&0|14047&1|11945&1;5544&1|17932&1|15659&1;18450&1|14047&1|15659&0|11882&0|20285&1|15216&1|20181&1|15992&0|14047&1|11945&1|5544&1|17932&1|15659&1
3552&1|3552&0|15280&1|8910&1|19871&1|9221&1|396&1|3552&1|19871&0|16805&0;15280&0|12772&0|15280&1;3552&1|3552&0|15280&1|8910&1|19871&1|9221&1|396&1|3552&1|19871&0|16805&0|15280&0|12772&0|15280&1
11749&0|3194&0|5544&0|15659&0|17356&1|11428&1|7200&0|5194&0|2650&0|8672&0;13018&0|15659&0|6059&0;11749&0|3194&0|5544&0|15659&0|17356&1|11428&1|7200&0|5194&0|2650&0|8672&0|13018&0|15659&0|6059&0
20537&0|8812&1|18823&1|17696&0|8812&0|20537&0|13920&1|258&1|2020&1|18945&0;18984&1|7059&1|3431&1;20537&0|8812&1|18823&1|17696&0|8812&0|20537&0|13920&1|258&1|2020&1|18945&0|18984&1|7059&1|3431&1
13188&1|2891&1|2747&1|9079&1|9711&1|4540&1|4167&0|12284&1|2993&1|2480&0;14132&0|3521&0|18145&0;13188&1|2891&1|2747&1|9079&1|9711&1|4540&1|4167&0|12284&1|2993&1|2480&0|14132&0|3521&0|18145&0
18939&1|15161&0|4906&0|19953&1|20325&1|7304&0|1763&1|4151&1|15843&0|8142&0;6004&0|15553&1|7108&1;18939&1|15161&0|4906&0|19953&1|20325&1|7304&0|1763&1|4151&1|15843&0|8142&0|6004&0|15553&1|7108&1
247&1|12378&0|3561&0|12508&1|10621&0|2314&1|6193&0|11210&0|17268&0|13784&1;381&1|14498&1|18375&1;247&1|12378&0|3561&0|12508&1|10621&0|2314&1|6193&0|11210&0|17268&0|13784&1|381&1|14498&1|18375&1
367&1|1729&1|3514&1|2233&1|4281&1|15344&0|15416&1|8402&0|13772&0|9748&0;8920&0|8491&0|12347&0;367&1|1729&1|3514&1|2233&1|4281&1|15344&0|15416&1|8402&0|13772&0|9748&0|8920&0|8491&0|12347&0
17016&1|14332&0|9602&0|4737&0|17016&0|4408&1|5477&0|12663&0|8668&0|14332&0;4283&0|4408&0|8668&0;17016&1|14332&0|9602&0|4737&0|17016&0|4408&1|5477&0|12663&0|8668&0|14332&0|4283&0|4408&0|8668&0
13791&0|8704&0|12726&0|15267&0|3366&0|12289&1|7617&0|2072&0|9912&0|15697&0;11913&0|8944&0|20432&0;13791&0|8704&0|12726&0|15267&0|3366&0|12289&1|7617&0|2072&0|9912&0|15697&0|11913&0|8944&0|20432&0
3161&0|5840&0|17247&1|15815&0|6207&1|15815&0|19122&1|11277&1|13727&0|19690&0;19975&1|20107&1|19246&0;3161&0|5840&0|17247&1|15815&0|6207&1|15815&0|19122&1|11277&1|13727&0|19690&0|19975&1|20107&1|19246&0
1590&0|1590&1|14989&0|14184&0|20082&1|14671&0|2771&0|3946&0|4912&0|16838&1;20082&0|16594&0|11552&0;1590&0|1590&1|14989&0|14184&0|20082&1|14671&0|2771&0|3946&0|4912&0|16838&1|20082&0|16594&0|11552&0
18886&0|7162&1|11762&0|3490&0|8981&0|4312&0|15581&0|15833&1|12588&0|8934&0;5564&0|19094&0|18075&0;18886&0|7162&1|11762&0|3490&0|8981&0|4312&0|15581&0|15833&1|12588&0|8934&0|5564&0|19094&0|18075&0
15216&1|7162&0|14005&0|8981&0|18075&0|19895&0|7162&1|7162&1|11762&0|11484&0;8934&0|2720&0|4017&1;15216&1|7162&0|14005&0|8981&0|18075&0|19895&0|7162&1|7162&1|11762&0|11484&0|8934&0|2720&0|4017&1
10762&1|19504&1|19699&1|9674&1|479&1|16500&1|7722&1|10787&1|15863&1|18818&1;1295&1|4286&1|11186&1;10762&1|19504&1|19699&1|9674&1|479&1|16500&1|7722&1|10787&1|15863&1|18818&1|1295&1|4286&1|11186&1
8981&1|1284&0|2720&1|15216&0|4312&0|4312&1|11484&1|19895&0|18886&0|14005&1;4017&0|1224&0|18075&0;8981&1|1284&0|2720&1|15216&0|4312&0|4312&1|11484&1|19895&0|18886&0|14005&1|4017&0|1224&0|18075&0
9289&0|14734&0|14319&1|13216&0|9449&0|11698&0|12815&0|16413&0|18864&1|7242&0;9401&0|14804&0|7490&0;9289&0|14734&0|14319&1|13216&0|9449&0|11698&0|12815&0|16413&0|18864&1|7242&0|9401&0|14804&0|7490&0
4981&1|6542&1|16898&0|9790&1|17474&1|14634&0|10636&1|8613&1|20539&1|13429&1;5902&1|14533&1|18181&1;4981&1|6542&1|16898&0|9790&1|17474&1|14634&0|10636&1|8613&1|20539&1|13429&1|5902&1|14533&1|18181&1
18075&0|18984&0|12493&0|1224&0|3490&0|1284&0|11484&0|5564&0|19895&0|19094&0;20387&1|4017&1|19895&0;18075&0|18984&0|12493&0|1224&0|3490&0|1284&0|11484&0|5564&0|19895&0|19094&0|20387&1|4017&1|19895&0
11686&0|3402&0|2463&0|3400&0|12079&0|16590&0|11422&0|332&0|9368&1|14118&0;15139&0|18808&0|5549&0;11686&0|3402&0|2463&0|3400&0|12079&0|16590&0|11422&0|332&0|9368&1|14118&0|15139&0|18808&0|5549&0
1665&1|6944&0|13809&0|1946&0|1665&0|10550&0|53&0|6364&0|1674&0|53&0;1343&0|2352&0|4474&0;1665&1|6944&0|13809&0|1946&0|1665&0|10550&0|53&0|6364&0|1674&0|53&0|1343&0|2352&0|4474&0
19054&1|1910&1|5517&1|12090&1|19527&0|5505&1|9108&0|14218&0|20487&1|2010&1;17121&0|13060&0|13490&0;19054&1|1910&1|5517&1|12090&1|19527&0|5505&1|9108&0|14218&0|20487&1|2010&1|17121&0|13060&0|13490&0
14047&0|6913&0|15992&0|8889&0|10158&0|6450&0|19200&0|3303&0|11427&0|8337&0;9049&0|9991&1|15459&1;14047&0|6913&0|15992&0|8889&0|10158&0|6450&0|19200&0|3303&0|11427&0|8337&0|9049&0|9991&1|15459&1
13077&1|12586&1|18740&0|4192&1|14523&1|3182&0|5544&1|3500&1|578&0|11994&1;8065&0|11148&1|19076&1;13077&1|12586&1|18740&0|4192&1|14523&1|3182&0|5544&1|3500&1|578&0|11994&1|8065&0|11148&1|19076&1
20372&0|10468&1|20615&1|19842&1|3962&0|5985&0|8955&0|13859&1|12096&0|18917&0;1331&1|9103&1|12236&1;20372&0|10468&1|20615&1|19842&1|3962&0|5985&0|8955&0|13859&1|12096&0|18917&0|1331&1|9103&1|12236&1
11400&1|18229&1|8618&0|20069&1|153&1|6261&1|1396&0|1562&1|11569&0|18152&1;20069&1|11400&1|4098&0;11400&1|18229&1|8618&0|20069&1|153&1|6261&1|1396&0|1562&1|11569&0|18152&1|20069&1|11400&1|4098&0
18947&0|18947&1|16791&0|5368&1|20285&0|6542&0|4505&0|20285&1|3905&0|6542&1;11945&0|14047&0|6542&1;18947&0|18947&1|16791&0|5368&1|20285&0|6542&0|4505&0|20285&1|3905&0|6542&1|11945&0|14047&0|6542&1
14975&0|742&1|12395&0|13866&0|151&0|1557&0|14955&0|11407&0|2464&0|18957&0;151&0|2919&0|1604&0;14975&0|742&1|12395&0|13866&0|151&0|1557&0|14955&0|11407&0|2464&0|18957&0|151&0|2919&0|1604&0
13561&0|20432&0|15759&0|13740&0|20430&0|4718&0|20733&0|15026&0|3329&0|10642&0;3329&1|20733&0|20733&0;13561&0|20432&0|15759&0|13740&0|20430&0|4718&0|20733&0|15026&0|3329&0|10642&0|3329&1|20733&0|20733&0
3556&1|3556&1|3556&1|3556&1|3556&1|3556&1|3556&1|3556&1|3556&1|3556&1;19737&0|3556&1|3556&0;3556&1|3556&1|3556&1|3556&1|3556&1|3556&1|3556&1|3556&1|3556&1|3556&1|19737&0|3556&1|3556&0
14944&1|1761&0|15662&0|15872&0|17959&0|5564&1|2270&0|15040&0|17711&0|7299&0;10798&0|340&0|3025&1;14944&1|1761&0|15662&0|15872&0|17959&0|5564&1|2270&0|15040&0|17711&0|7299&0|10798&0|340&0|3025&1
8108&0|19794&0|12085&0|11484&1|12655&1|20761&0|140&1|37&1|3182&1|15216&1;17366&1|16666&1|1293&1;8108&0|19794&0|12085&0|11484&1|12655&1|20761&0|140&1|37&1|3182&1|15216&1|17366&1|16666&1|1293&1
14421&1|10654&1|14421&1|10968&0|1529&1|297&1|16186&1|2639&1|18901&1|18309&1;5003&1|9077&1|12814&1;14421&1|10654&1|14421&1|10968&0|1529&1|297&1|16186&1|2639&1|18901&1|18309&1|5003&1|9077&1|12814&1
3474&1|716&0|19308&1|12817&1|8108&1|8020&1|1647&1|12493&1|20387&1|11484&1;20017&1|5961&0|3940&1;3474&1|716&0|19308&1|12817&1|8108&1|8020&1|1647&1|12493&1|20387&1|11484&1|20017&1|5961&0|3940&1
13124&0|18781&0|19522&1|13124&0|4746&0|10723&0|18781&0|18781&1|2387&1|18888&0;16817&1|9777&1|3646&1;13124&0|18781&0|19522&1|13124&0|4746&0|10723&0|18781&0|18781&1|2387&1|18888&0|16817&1|9777&1|3646&1
8939&0|20405&0|9850&0|1695&0|9708&0|17449&1|17507&1|16389&0|52&0|10222&0;7536&1|3587&0|5713&0;8939&0|20405&0|9850&0|1695&0|9708&0|17449&1|17507&1|16389&0|52&0|10222&0|7536&1|3587&0|5713&0
2915&0|16153&0|2172&0|2550&1|2172&0|16740&0|13663&1|2252&0|2550&0|2550&0;4576&0|20438&0|20438&0;2915&0|16153&0|2172&0|2550&1|2172&0|16740&0|13663&1|2252&0|2550&0|2550&0|4576&0|20438&0|20438&0
4364&0|15344&1|4364&1|9863&1|8962&0|8962&0|5301&1|15344&0|8962&0|5301&0;1850&1|15374&1|16498&1;4364&0|15344&1|4364&1|9863&1|8962&0|8962&0|5301&1|15344&0|8962&0|5301&0|1850&1|15374&1|16498&1
18766&1|8369&0|2161&0|14762&1|7851&0|5011&1|5501&0|3329&1|8373&0|18785&0;18785&0|8369&1|6012&0;18766&1|8369&0|2161&0|14762&1|7851&0|5011&1|5501&0|3329&1|8373&0|18785&0|18785&0|8369&1|6012&0
14652&0|11484&1|13598&0|14700&0|11749&0|5703&0|15216&1|11945&1|9853&0|15661&1;1224&1|17645&0|19959&0;14652&0|11484&1|13598&0|14700&0|11749&0|5703&0|15216&1|11945&1|9853&0|15661&1|1224&1|17645&0|19959&0
5368&1|12289&0|11945&1|15517&0|11203&1|9306&0|14047&0|10636&1|16791&1|11203&0;10636&1|12621&1|8398&0;5368&1|12289&0|11945&1|15517&0|11203&1|9306&0|14047&0|10636&1|16791&1|11203&0|10636&1|12621&1|8398&0
14328&1|6917&1|19883&1|6542&1|5039&1|9870&1|14842&1|9636&1|16898&1|6329&0;16791&1|9711&0|14292&1;14328&1|6917&1|19883&1|6542&1|5039&1|9870&1|14842&1|9636&1|16898&1|6329&0|16791&1|9711&0|14292&1
11848&1|12126&1|10157&1|20341&1|275&0|9485&0|7831&1|13964&1|14009&1|2221&0;11134&1|11908&0|7707&1;11848&1|12126&1|10157&1|20341&1|275&0|9485&0|7831&1|13964&1|14009&1|2221&0|11134&1|11908&0|7707&1
5025&0|10991&0|19086&0|7618&0|887&0|1616&0|6419&0|4726&0|11191&0|2551&0;12369&0|10565&0|3569&1;5025&0|10991&0|19086&0|7618&0|887&0|1616&0|6419&0|4726&0|11191&0|2551&0|12369&0|10565&0|3569&1
250&1|11203&0|3905&1|5368&0|12289&0|8673&1|14440&0|15517&1|12621&1|10636&0;14047&0|11945&0|18947&0;250&1|11203&0|3905&1|5368&0|12289&0|8673&1|14440&0|15517&1|12621&1|10636&0|14047&0|11945&0|18947&0
9028&0|7834&0|15445&0|3226&0|889&0|10239&0|7028&1|6826&0|5439&0|19627&1;19272&0|11748&0|16674&0;9028&0|7834&0|15445&0|3226&0|889&0|10239&0|7028&1|6826&0|5439&0|19627&1|19272&0|11748&0|16674&0
8305&0|13959&1|7617&1|9422&0|7181&1|20683&0|4546&1|2473&1|13312&0|140&0;19817&1|12602&1|20761&0;8305&0|13959&1|7617&1|9422&0|7181&1|20683&0|4546&1|2473&1|13312&0|140&0|19817&1|12602&1|20761&0
