state;action_reward;n_state
12558&0|10112&1|6782&1|10112&0|1366&0|10112&1|6782&0|6782&1|1366&0|10112&1;4058&1|4058&0|8403&0;12558&0|10112&1|6782&1|10112&0|1366&0|10112&1|6782&0|6782&1|1366&0|10112&1|4058&1|4058&0|8403&0
15973&0|13639&0|2897&0|19773&0|9569&0|810&0|16935&0|12853&0|13962&1|5346&1;6881&1|2897&1|15973&1;15973&0|13639&0|2897&0|19773&0|9569&0|810&0|16935&0|12853&0|13962&1|5346&1|6881&1|2897&1|15973&1
13057&0|10565&0|17490&0|5251&1|4224&1|2720&0|7596&1|8571&0|2272&0|16939&0;15670&0|8713&0|6205&0;13057&0|10565&0|17490&0|5251&1|4224&1|2720&0|7596&1|8571&0|2272&0|16939&0|15670&0|8713&0|6205&0
16908&1|8597&1|10285&1|16485&1|7258&1|5856&1|3918&1|20768&1|19380&1|6519&1;4778&1|7094&0|8176&0;16908&1|8597&1|10285&1|16485&1|7258&1|5856&1|3918&1|20768&1|19380&1|6519&1|4778&1|7094&0|8176&0
20497&0|19940&1|14682&0|8972&1|11338&1|1205&0|13326&1|13872&1|11709&0|10040&0;9272&1|9795&1|5965&1;20497&0|19940&1|14682&0|8972&1|11338&1|1205&0|13326&1|13872&1|11709&0|10040&0|9272&1|9795&1|5965&1
5025&0|2935&0|17080&0|5645&0|10694&0|8575&0|2935&1|8711&1|12181&0|8568&0;14457&0|908&0|8433&0;5025&0|2935&0|17080&0|5645&0|10694&0|8575&0|2935&1|8711&1|12181&0|8568&0|14457&0|908&0|8433&0
6389&1|5544&1|20193&1|3374&1|8630&1|12514&1|3025&1|19604&1|9315&1|10676&1;20193&0|6059&0|9870&0;6389&1|5544&1|20193&1|3374&1|8630&1|12514&1|3025&1|19604&1|9315&1|10676&1|20193&0|6059&0|9870&0
8347&1|14502&1|10517&1|17729&0|9738&0|11846&0|9439&0|6176&1|15413&1|1814&0;7744&0|12396&0|14436&0;8347&1|14502&1|10517&1|17729&0|9738&0|11846&0|9439&0|6176&1|15413&1|1814&0|7744&0|12396&0|14436&0
13506&1|17635&1|14649&1|142&1|9693&1|8972&1|7416&1|175&1|17430&1|14580&1;18621&0|11340&1|6799&1;13506&1|17635&1|14649&1|142&1|9693&1|8972&1|7416&1|175&1|17430&1|14580&1|18621&0|11340&1|6799&1
14745&0|5490&1|9562&0|17359&1|3286&1|14211&1|16159&1|6551&0|14582&0|688&1;12022&1|12357&0|4698&0;14745&0|5490&1|9562&0|17359&1|3286&1|14211&1|16159&1|6551&0|14582&0|688&1|12022&1|12357&0|4698&0
13664&0|17958&1|16212&1|17709&0|10471&0|17709&0|1401&0|14494&0|15653&0|8080&1;11072&0|15954&0|9130&0;13664&0|17958&1|16212&1|17709&0|10471&0|17709&0|1401&0|14494&0|15653&0|8080&1|11072&0|15954&0|9130&0
12092&0|10685&1|14469&1|13452&1|3554&1|16791&1|20227&1|7811&1|12679&1|14189&1;17648&1|10225&1|5514&0;12092&0|10685&1|14469&1|13452&1|3554&1|16791&1|20227&1|7811&1|12679&1|14189&1|17648&1|10225&1|5514&0
15581&1|18984&0|8981&1|14005&1|18940&0|5564&0|15216&1|1224&0|12604&1|3490&0;8934&0|2720&0|4312&0;15581&1|18984&0|8981&1|14005&1|18940&0|5564&0|15216&1|1224&0|12604&1|3490&0|8934&0|2720&0|4312&0
20481&1|14523&0|15732&0|15973&0|12963&0|10547&0|19607&0|14778&0|13135&0|9562&0;7416&1|9562&0|19607&1;20481&1|14523&0|15732&0|15973&0|12963&0|10547&0|19607&0|14778&0|13135&0|9562&0|7416&1|9562&0|19607&1
11129&0|2981&1|17832&0|8305&1|9974&0|8604&0|3606&0|7382&0|18387&0|16313&1;15609&0|1399&0|15666&0;11129&0|2981&1|17832&0|8305&1|9974&0|8604&0|3606&0|7382&0|18387&0|16313&1|15609&0|1399&0|15666&0
16122&0|7696&0|3917&0|464&0|2290&0|19107&0|17412&0|4407&1|3389&0|5414&0;15227&0|5588&1|13293&0;16122&0|7696&0|3917&0|464&0|2290&0|19107&0|17412&0|4407&1|3389&0|5414&0|15227&0|5588&1|13293&0
8599&1|19817&1|10234&0|8718&0|752&0|14700&1|15591&1|1284&0|8339&1|10365&0;2946&1|15216&0|11484&0;8599&1|19817&1|10234&0|8718&0|752&0|14700&1|15591&1|1284&0|8339&1|10365&0|2946&1|15216&0|11484&0
10309&0|7930&1|16708&0|1799&0|18415&0|14610&0|18783&1|10309&0|14610&1|1799&0;11960&1|18154&1|11300&1;10309&0|7930&1|16708&0|1799&0|18415&0|14610&0|18783&1|10309&0|14610&1|1799&0|11960&1|18154&1|11300&1
13224&1|15375&1|16431&1|9149&1|5947&0|3285&1|18171&1|1396&1|461&0|8312&0;4546&1|7506&1|19799&1;13224&1|15375&1|16431&1|9149&1|5947&0|3285&1|18171&1|1396&1|461&0|8312&0|4546&1|7506&1|19799&1
